id,sup_id,lat,lon,height_m,offset_m,split,class_id,class_name,xc,yc,w,h,r_iso_m,shadow_m,box_w_m,box_h_m,group,image,source
17,1412337,49.986529,3.193847,43.140000000000015,15.569615825805563,train,0.0,site_radio,0.484866,0.45842,0.305635,0.358527,28.2,18.12,62.59,73.43,12.0,ANFR_1412337.jpg,annotation_faible
18,1415008,50.235279,1.713635,26.47,18.13335347933612,train,0.0,site_radio,0.490714,0.474487,0.286417,0.318871,27.43,11.12,58.66,65.3,13.0,ANFR_1415008.jpg,annotation_faible
19,1419079,49.850525,1.895659,35.29000000000002,8.19795395835094,train,0.0,site_radio,0.48762,0.465986,0.212806,0.256074,19.26,14.83,43.58,52.44,14.0,ANFR_1419079.jpg,annotation_faible
20,1422987,50.158205,1.564849,33.31,3.4859909773577216,train,0.0,site_radio,0.488315,0.467895,0.161535,0.202375,14.15,13.99,33.08,41.45,15.0,ANFR_1422987.jpg,annotation_faible
21,1429406,49.879103,2.710271,42.60999999999999,1.6466080734668571,train,0.0,site_radio,0.485052,0.458931,0.168261,0.220504,14.17,17.9,34.46,45.16,16.0,ANFR_1429406.jpg,annotation_faible
22,1445381,50.279665,1.731735,35.129999999999995,0.4366431724381448,val,0.0,site_radio,0.487676,0.46614,0.136588,0.179659,11.46,14.76,27.97,36.79,17.0,ANFR_1445381.jpg,annotation_faible
24,1459014,49.934389,2.936946,19.86,6.170692866606204,train,0.0,site_radio,0.493033,0.480858,0.152046,0.176396,14.14,8.34,31.14,36.13,18.0,ANFR_1459014.jpg,annotation_faible
25,1484712,50.337448,1.77556,40.02,5.807910205024804,train,0.0,site_radio,0.485961,0.461427,0.202023,0.25109,17.81,16.81,41.37,51.42,19.0,ANFR_1484712.jpg,annotation_faible
26,1498704,49.941878,2.213,12.200000000000005,0.8347794036359847,train,0.0,site_radio,0.49572,0.488241,0.082337,0.097295,7.55,5.13,16.86,19.93,67.0,ANFR_1498704.jpg,annotation_faible
27,1499221,49.851541,2.659665,10.010000000000003,0.5482365907570101,val,0.0,site_radio,0.496488,0.490352,0.075863,0.088136,7.05,4.21,15.54,18.05,21.0,ANFR_1499221.jpg,annotation_faible
28,1501778,49.88469,2.837274,30.08,5.149514378323924,train,0.0,site_radio,0.489448,0.471008,0.169205,0.206085,15.17,12.64,34.65,42.21,22.0,ANFR_1501778.jpg,annotation_faible
29,1505766,50.061968,2.197074,24.97,10.919335703234523,train,0.0,site_radio,0.49124,0.475933,0.211986,0.2426,19.91,10.49,43.41,49.68,23.0,ANFR_1505766.jpg,annotation_faible
32,1518675,50.020771,2.3789,30.66,24.02517901956784,train,0.0,site_radio,0.489244,0.470449,0.355078,0.392669,34.16,12.88,72.72,80.42,24.0,ANFR_1518675.jpg,annotation_faible
33,1532430,49.888917,2.288351,25.45,3.373152318838536,train,0.0,site_radio,0.491072,0.47547,0.139567,0.17077,12.46,10.69,28.58,34.97,25.0,ANFR_1532430.jpg,annotation_faible
34,1536781,50.011297,1.98408,11.5,22.95689050805093,train,0.0,site_radio,0.495966,0.488916,0.297198,0.311298,29.61,4.83,60.87,63.75,26.0,ANFR_1536781.jpg,annotation_faible
35,1541730,49.865579,2.229221,6.450000000000003,37.08393544155167,train,0.0,site_radio,0.497737,0.493783,0.426683,0.434591,43.23,2.71,87.38,89.0,4.0,ANFR_1541730.jpg,annotation_faible
36,1567073,49.770412,2.618453,42.85,1.49043914948996,train,0.0,site_radio,0.484968,0.4587,0.167373,0.21991,14.06,18.0,34.28,45.04,28.0,ANFR_1567073.jpg,annotation_faible
39,1568661,50.033924,2.026792,24.51,28.47373314498821,train,0.0,site_radio,0.491402,0.476376,0.382194,0.412245,37.38,10.3,78.27,84.43,29.0,ANFR_1568661.jpg,annotation_faible
40,1568671,50.171627,2.063816,4.600000000000023,36.516954577148034,train,0.0,site_radio,0.498386,0.495566,0.418041,0.423681,42.48,1.93,85.61,86.77,30.0,ANFR_1568671.jpg,annotation_faible
41,1568728,49.884679,2.091759,30.120000000000005,8.213170989068544,val,0.0,site_radio,0.489434,0.470969,0.19923,0.236159,18.24,12.65,40.8,48.37,31.0,ANFR_1568728.jpg,annotation_faible
42,1568743,50.124897,2.16076,30.97,0.682004273665469,train,0.0,site_radio,0.489135,0.47015,0.12794,0.165911,10.88,13.01,26.2,33.98,32.0,ANFR_1568743.jpg,annotation_faible
43,1568754,50.080661,2.126203,14.61,0.3124655104532732,train,0.0,site_radio,0.494875,0.485918,0.081281,0.099193,7.27,6.14,16.65,20.31,33.0,ANFR_1568754.jpg,annotation_faible
44,1570162,50.190931,1.874484,2.0600000000000023,13.261170033609565,val,0.0,site_radio,0.499277,0.498014,0.186672,0.189197,18.97,0.87,38.23,38.75,34.0,ANFR_1570162.jpg,annotation_faible
45,1576628,49.963962,2.138364,39.35000000000001,23.560365773604243,train,0.0,site_radio,0.486196,0.462073,0.373608,0.421854,35.43,16.53,76.51,86.4,35.0,ANFR_1576628.jpg,annotation_faible
46,1582776,49.928845,2.20026,10.759999999999998,32.07689588194748,train,0.0,site_radio,0.496225,0.489629,0.385019,0.398211,38.65,4.52,78.85,81.55,36.0,ANFR_1582776.jpg,annotation_faible
47,1582793,49.865392,2.231477,8.990000000000002,22.78784921174314,train,0.0,site_radio,0.496846,0.491335,0.291335,0.302358,29.19,3.78,59.67,61.92,4.0,ANFR_1582793.jpg,annotation_faible
48,1582797,50.032505,2.237001,14.25,0.5362847931658559,train,0.0,site_radio,0.495001,0.486265,0.082862,0.100333,7.46,5.99,16.97,20.55,38.0,ANFR_1582797.jpg,annotation_faible
50,1586021,49.810535,1.853295,37.79999999999998,3.5766011201991303,train,0.0,site_radio,0.486739,0.463567,0.174339,0.220684,15.14,15.88,35.7,45.2,39.0,ANFR_1586021.jpg,annotation_faible
51,1587783,50.184495,1.622201,35.19,19.192326533562262,train,0.0,site_radio,0.487655,0.466083,0.319908,0.363053,30.23,14.78,65.52,74.35,40.0,ANFR_1587783.jpg,annotation_faible
52,1588901,50.069494,2.331777,20.850000000000023,9.658097077716857,train,0.0,site_radio,0.492686,0.479904,0.188731,0.214295,17.83,8.76,38.65,43.89,41.0,ANFR_1588901.jpg,annotation_faible
53,1592029,49.896004,2.283607,14.78,11.884398388385248,train,0.0,site_radio,0.494815,0.485754,0.194573,0.212694,18.86,6.21,39.85,43.56,42.0,ANFR_1592029.jpg,annotation_faible
54,1595236,49.905329,2.219149,13.329999999999998,1.063414478144611,train,0.0,site_radio,0.495324,0.487152,0.086466,0.102809,7.9,5.6,17.71,21.06,43.0,ANFR_1595236.jpg,annotation_faible
55,1596626,49.891798,2.361149,7.660000000000004,7.4612093801695005,train,0.0,site_radio,0.497313,0.492617,0.139429,0.148821,13.73,3.22,28.56,30.48,44.0,ANFR_1596626.jpg,annotation_faible
57,1596751,49.825186,2.461045,15.099999999999994,0.3378071088185315,val,0.0,site_radio,0.494703,0.485446,0.082448,0.100961,7.36,6.34,16.89,20.68,379.0,ANFR_1596751.jpg,annotation_faible
59,1597179,49.978108,2.363466,2.259999999999991,20.45827293281523,train,0.0,site_radio,0.499207,0.497822,0.257291,0.260062,26.18,0.95,52.69,53.26,156.0,ANFR_1597179.jpg,annotation_faible
60,1597225,49.909469,2.308886,14.799999999999995,2.7070601718148204,train,0.0,site_radio,0.494808,0.485735,0.104984,0.12313,9.69,6.22,21.5,25.22,47.0,ANFR_1597225.jpg,annotation_faible
61,1597232,49.866019,2.35049,14.259999999999998,11.348313983406465,train,0.0,site_radio,0.494997,0.486256,0.188465,0.205949,18.27,5.99,38.6,42.18,48.0,ANFR_1597232.jpg,annotation_faible
62,1597237,49.885022,2.295258,14.450000000000005,2.8609088998060264,train,0.0,site_radio,0.494931,0.486073,0.105899,0.123616,9.81,6.07,21.69,25.32,49.0,ANFR_1597237.jpg,annotation_faible
63,1597246,49.876117,2.312538,14.740000000000002,2.774542170559585,train,0.0,site_radio,0.494829,0.485793,0.105542,0.123615,9.75,6.19,21.62,25.32,50.0,ANFR_1597246.jpg,annotation_faible
64,1597262,49.871913,2.331762,6.310000000000002,17.475814509331443,train,0.0,site_radio,0.497786,0.493918,0.234962,0.242699,23.61,2.65,48.12,49.7,51.0,ANFR_1597262.jpg,annotation_faible
65,1597267,49.884983,2.330931,9.310000000000002,13.0625852947624,val,0.0,site_radio,0.496734,0.491027,0.196899,0.208314,19.49,3.91,40.32,42.66,52.0,ANFR_1597267.jpg,annotation_faible
66,1597272,49.887464,2.307486,12.979999999999997,4.081226952612294,train,0.0,site_radio,0.495447,0.487489,0.115349,0.131264,10.88,5.45,23.62,26.88,53.0,ANFR_1597272.jpg,annotation_faible
68,1597686,49.954886,2.477638,42.05999999999999,0.9288414752614966,train,0.0,site_radio,0.485245,0.459461,0.159792,0.21136,13.34,17.67,32.73,43.29,54.0,ANFR_1597686.jpg,annotation_faible
69,1597728,49.834216,2.573807,31.200000000000003,1.4287088900349108,val,0.0,site_radio,0.489055,0.469928,0.135843,0.174096,11.67,13.11,27.82,35.65,55.0,ANFR_1597728.jpg,annotation_faible
70,1601292,49.812627,2.379723,24.05000000000001,14.159917897980948,val,0.0,site_radio,0.491563,0.47682,0.241189,0.270676,22.97,10.1,49.4,55.43,56.0,ANFR_1601292.jpg,annotation_faible
71,1603408,49.91552,2.513082,8.269999999999996,18.48909339425977,train,0.0,site_radio,0.497099,0.492029,0.248147,0.258287,24.82,3.47,50.82,52.9,57.0,ANFR_1603408.jpg,annotation_faible
72,1603428,49.902879,2.326579,10.840000000000003,32.792596922031755,train,0.0,site_radio,0.496197,0.489552,0.392143,0.405433,39.38,4.55,80.31,83.03,58.0,ANFR_1603428.jpg,annotation_faible
73,1609932,49.876207,2.413972,25.61,0.8350589785608811,train,0.0,site_radio,0.491016,0.475316,0.115205,0.146605,9.96,10.76,23.59,30.02,59.0,ANFR_1609932.jpg,annotation_faible
74,1613237,49.89204,1.706917,31.760000000000005,0.4666631932342048,train,0.0,site_radio,0.488858,0.469389,0.127934,0.166874,10.82,13.34,26.2,34.18,60.0,ANFR_1613237.jpg,annotation_faible
75,1618812,49.898077,2.457835,6.039999999999999,34.05502440256418,train,0.0,site_radio,0.497881,0.494178,0.396416,0.403821,40.16,2.54,81.19,82.7,61.0,ANFR_1618812.jpg,annotation_faible
76,1623313,49.925296,2.304262,6.140000000000001,23.57499814513164,train,0.0,site_radio,0.497846,0.494082,0.29424,0.301768,29.69,2.58,60.26,61.8,62.0,ANFR_1623313.jpg,annotation_faible
77,1628010,49.967751,2.566303,12.459999999999994,6.874067425741478,train,0.0,site_radio,0.495629,0.487991,0.141751,0.157027,13.62,5.23,29.03,32.16,63.0,ANFR_1628010.jpg,annotation_faible
78,1629678,50.00217,2.656168,23.96,7.106165326036208,train,0.0,site_radio,0.491595,0.476906,0.172066,0.201443,15.9,10.07,35.24,41.26,64.0,ANFR_1629678.jpg,annotation_faible
79,1632824,49.961316,2.327629,27.099999999999994,12.297039799159723,train,0.0,site_radio,0.490493,0.47388,0.231094,0.26432,21.72,11.39,47.33,54.13,65.0,ANFR_1632824.jpg,annotation_faible
80,1634367,49.91038,2.317925,48.00000000000001,15.560017599556254,train,0.0,site_radio,0.483161,0.453736,0.318443,0.377294,29.16,20.17,65.22,77.27,66.0,ANFR_1634367.jpg,annotation_faible
81,1637044,49.941878,2.213,12.200000000000005,0.8347794036359847,train,0.0,site_radio,0.49572,0.488241,0.082337,0.097295,7.55,5.13,16.86,19.93,67.0,ANFR_1637044.jpg,annotation_faible
82,1637416,49.875377,2.355824,8.260000000000002,29.62526068884939,train,0.0,site_radio,0.497102,0.492039,0.356882,0.367009,35.95,3.47,73.09,75.16,68.0,ANFR_1637416.jpg,annotation_faible
83,1640108,49.652283,2.617677,24.99000000000001,9.916769978571358,val,0.0,site_radio,0.491233,0.475914,0.202248,0.232887,18.91,10.5,41.42,47.7,69.0,ANFR_1640108.jpg,annotation_faible
84,1640634,49.718775,2.528081,7.340000000000003,12.75839885052502,train,0.0,site_radio,0.497425,0.492925,0.190623,0.199622,18.99,3.08,39.04,40.88,70.0,ANFR_1640634.jpg,annotation_faible
85,1642091,49.651601,2.570804,3.549999999999997,23.350872292589028,train,0.0,site_radio,0.498755,0.496578,0.287704,0.292057,29.21,1.49,58.92,59.81,71.0,ANFR_1642091.jpg,annotation_faible
86,1644595,50.074823,2.472837,44.96000000000001,12.032625308514078,train,0.0,site_radio,0.484228,0.456666,0.275926,0.331049,25.02,18.89,56.51,67.8,115.0,ANFR_1644595.jpg,annotation_faible
87,1645462,49.791162,2.198449,19.82,0.7129339019425799,val,0.0,site_radio,0.493047,0.480897,0.098642,0.122942,8.68,8.33,20.2,25.18,73.0,ANFR_1645462.jpg,annotation_faible
88,1651219,49.98882,3.005356,58.21000000000001,1.0853738653017817,train,0.0,site_radio,0.479579,0.443895,0.204194,0.275563,16.73,24.46,41.82,56.44,74.0,ANFR_1651219.jpg,annotation_faible
89,1651248,49.774989,1.851223,35.05000000000001,8.183872865585194,train,0.0,site_radio,0.487704,0.466217,0.212032,0.255005,19.19,14.73,43.42,52.23,75.0,ANFR_1651248.jpg,annotation_faible
90,1655139,50.194786,2.417069,40.0,11.394358833517243,train,0.0,site_radio,0.485968,0.461446,0.256525,0.305568,23.39,16.8,52.54,62.58,76.0,ANFR_1655139.jpg,annotation_faible
91,1656523,49.886697,2.270478,26.4,6.552744204092124,val,0.0,site_radio,0.490739,0.474555,0.173139,0.205507,15.83,11.09,35.46,42.09,77.0,ANFR_1656523.jpg,annotation_faible
92,1660090,49.898592,1.71371,30.53,1.7107960441820245,train,0.0,site_radio,0.48929,0.470574,0.136819,0.17425,11.82,12.83,28.02,35.69,78.0,ANFR_1660090.jpg,annotation_faible
93,1669319,49.777442,2.258026,30.180000000000007,24.549471625020907,train,0.0,site_radio,0.489413,0.470911,0.358924,0.395926,34.59,12.68,73.51,81.09,79.0,ANFR_1669319.jpg,annotation_faible
95,1679243,49.871377,2.710197,35.57000000000001,0.7460017650723247,val,0.0,site_radio,0.487522,0.465716,0.140777,0.184388,11.86,14.94,28.83,37.76,80.0,ANFR_1679243.jpg,annotation_faible
98,1682104,49.869481,1.815869,44.47,4.775352226245188,train,0.0,site_radio,0.4844,0.457138,0.203753,0.258276,17.67,18.68,41.73,52.89,81.0,ANFR_1682104.jpg,annotation_faible
99,1682143,50.046898,1.518895,14.329999999999998,5.218298216815155,train,0.0,site_radio,0.494973,0.486188,0.128719,0.146289,12.15,6.02,26.36,29.96,82.0,ANFR_1682143.jpg,annotation_faible
100,1685115,50.067647,1.634863,35.46000000000001,0.3107232680863511,train,0.0,site_radio,0.48756,0.465822,0.136234,0.17971,11.4,14.9,27.9,36.8,83.0,ANFR_1685115.jpg,annotation_faible
101,1685119,49.80942,2.104392,6.640000000000001,29.99392027000821,train,0.0,site_radio,0.497671,0.4936,0.357763,0.365904,36.16,2.79,73.27,74.94,84.0,ANFR_1685119.jpg,annotation_faible
102,1685137,50.217709,1.628464,15.3,13.021541208682208,train,0.0,site_radio,0.494633,0.485253,0.206844,0.225602,20.08,6.43,42.36,46.2,85.0,ANFR_1685137.jpg,annotation_faible
103,1685692,50.074799,1.542037,36.27000000000001,10.808871820369308,train,0.0,site_radio,0.487276,0.465042,0.240905,0.285375,22.06,15.24,49.34,58.44,86.0,ANFR_1685692.jpg,annotation_faible
104,1688610,49.878669,3.042053,25.75,0.8554891568290477,val,0.0,site_radio,0.490967,0.475181,0.115776,0.147347,10.01,10.82,23.71,30.18,87.0,ANFR_1688610.jpg,annotation_faible
106,1716847,49.886145,2.327213,13.990000000000002,3.7778830235384784,train,0.0,site_radio,0.495092,0.486516,0.114082,0.131235,10.68,5.88,23.36,26.88,88.0,ANFR_1716847.jpg,annotation_faible
107,1721551,49.873585,2.942237,41.8,2.1096403658640788,train,0.0,site_radio,0.485336,0.459712,0.170633,0.221882,14.47,17.56,34.95,45.44,89.0,ANFR_1721551.jpg,annotation_faible
108,1721679,49.756796,2.90808,13.579999999999998,16.670413920164616,val,0.0,site_radio,0.495236,0.486911,0.239298,0.255947,23.53,5.71,49.01,52.42,90.0,ANFR_1721679.jpg,annotation_faible
109,1725652,50.342591,1.566044,35.05,1.556060583533719,train,0.0,site_radio,0.487704,0.466217,0.147307,0.19028,12.57,14.73,30.17,38.97,91.0,ANFR_1725652.jpg,annotation_faible
112,1738570,49.64667,2.756547,4.319999999999993,0.3270399098359748,train,0.0,site_radio,0.498485,0.495836,0.064154,0.069451,6.26,1.81,13.14,14.22,92.0,ANFR_1738570.jpg,annotation_faible
113,1749553,49.923219,2.865953,31.36,1.2145659690970083,train,0.0,site_radio,0.488999,0.469774,0.134176,0.172625,11.49,13.18,27.48,35.35,93.0,ANFR_1749553.jpg,annotation_faible
114,1750325,49.9108,2.926533,10.079999999999998,29.842290666834625,train,0.0,site_radio,0.496464,0.490285,0.362056,0.374414,36.35,4.23,74.15,76.68,94.0,ANFR_1750325.jpg,annotation_faible
115,1752599,49.722755,3.098466,40.97,9.920641540478249,train,0.0,site_radio,0.485627,0.460512,0.244709,0.29494,22.11,17.21,50.12,60.4,95.0,ANFR_1752599.jpg,annotation_faible
116,1753316,49.895924,2.286206,14.91,12.144958657781467,train,0.0,site_radio,0.494769,0.485629,0.197336,0.215616,19.14,6.26,40.41,44.16,42.0,ANFR_1753316.jpg,annotation_faible
117,1770458,50.069025,2.059654,24.349999999999994,21.773829254577297,val,0.0,site_radio,0.491458,0.476531,0.316341,0.346195,30.64,10.23,64.79,70.9,97.0,ANFR_1770458.jpg,annotation_faible
118,1787006,49.897487,2.298566,15.04,3.5587878666465227,train,0.0,site_radio,0.494724,0.485504,0.113744,0.132184,10.57,6.32,23.29,27.07,98.0,ANFR_1787006.jpg,annotation_faible
120,1795210,50.219593,1.630718,36.080000000000005,18.507644372528485,train,0.0,site_radio,0.487343,0.465225,0.315584,0.35982,29.72,15.16,64.63,73.69,99.0,ANFR_1795210.jpg,annotation_faible
121,1809321,50.058809,2.14084,25.629999999999995,0.8511520611074105,train,0.0,site_radio,0.491009,0.475297,0.115416,0.146839,9.98,10.77,23.64,30.07,100.0,ANFR_1809321.jpg,annotation_faible
122,1812320,50.024599,2.737271,25.599999999999994,0.6896175403159903,train,0.0,site_radio,0.491019,0.475326,0.113758,0.145146,9.81,10.76,23.3,29.73,101.0,ANFR_1812320.jpg,annotation_faible
124,1831447,49.814481,2.70144,14.939999999999998,5.475510356905839,val,0.0,site_radio,0.494759,0.4856,0.132255,0.150572,12.47,6.28,27.09,30.84,102.0,ANFR_1831447.jpg,annotation_faible
125,1843863,49.70754,2.276706,25.889999999999983,5.242249400085009,val,0.0,site_radio,0.490918,0.475046,0.158988,0.19073,14.42,10.88,32.56,39.06,103.0,ANFR_1843863.jpg,annotation_faible
126,1848241,49.964362,1.833163,40.06,3.09881350466273,train,0.0,site_radio,0.485947,0.461389,0.175673,0.224789,15.11,16.83,35.98,46.04,104.0,ANFR_1848241.jpg,annotation_faible
128,1859174,50.303572,1.756415,35.0,18.5118128483202,val,0.0,site_radio,0.487722,0.466266,0.312758,0.35567,29.51,14.7,64.05,72.84,105.0,ANFR_1859174.jpg,annotation_faible
129,1859215,50.259594,1.93606,44.77,1.3070993132488795,val,0.0,site_radio,0.484294,0.456849,0.17068,0.225571,14.26,18.81,34.96,46.2,106.0,ANFR_1859215.jpg,annotation_faible
130,1878381,49.88729,2.04251,23.47,20.72350311064136,train,0.0,site_radio,0.491767,0.477379,0.303747,0.332523,29.42,9.86,62.21,68.1,107.0,ANFR_1878381.jpg,annotation_faible
131,1881032,49.840386,2.135952,24.92,0.5862328937520271,train,0.0,site_radio,0.491258,0.475981,0.110944,0.141497,9.57,10.47,22.72,28.98,108.0,ANFR_1881032.jpg,annotation_faible
132,1906289,49.861601,2.472909,14.370000000000005,29.89246369372744,val,0.0,site_radio,0.494959,0.48615,0.369745,0.387363,36.83,6.04,75.72,79.33,422.0,ANFR_1906289.jpg,annotation_faible
133,1906761,49.843926,1.779493,16.53,5.421617493729364,train,0.0,site_radio,0.494201,0.484068,0.135891,0.156158,12.73,6.94,27.83,31.98,110.0,ANFR_1906761.jpg,annotation_faible
134,1914500,49.891393,2.839655,15.22,0.4580286161645913,val,0.0,site_radio,0.494661,0.48533,0.083941,0.102601,7.5,6.39,17.19,21.01,111.0,ANFR_1914500.jpg,annotation_faible
135,1916165,49.876987,1.96547,24.98999999999998,0.3292405198468072,train,0.0,site_radio,0.491233,0.475914,0.10862,0.139259,9.33,10.5,22.25,28.52,112.0,ANFR_1916165.jpg,annotation_faible
136,1916347,49.730507,2.248489,39.06,12.447231309310949,train,0.0,site_radio,0.486297,0.462353,0.264312,0.312202,24.26,16.41,54.13,63.94,113.0,ANFR_1916347.jpg,annotation_faible
137,1922304,49.939097,2.42267,5.25,28.76719726176702,train,0.0,site_radio,0.498158,0.49494,0.343451,0.349888,34.79,2.21,70.34,71.66,114.0,ANFR_1922304.jpg,annotation_faible
138,1930679,50.074891,2.471096,10.689999999999998,24.24743788916308,train,0.0,site_radio,0.49625,0.489697,0.308442,0.321549,30.82,4.49,63.17,65.85,115.0,ANFR_1930679.jpg,annotation_faible
139,1942314,49.761079,2.339365,26.340000000000003,0.6923600390056966,train,0.0,site_radio,0.49076,0.474613,0.11575,0.148044,9.96,11.07,23.71,30.32,116.0,ANFR_1942314.jpg,annotation_faible
140,1942316,49.815546,2.247579,2.780000000000001,33.087979580874794,train,0.0,site_radio,0.499025,0.497321,0.381501,0.38491,38.87,1.17,78.13,78.83,334.0,ANFR_1942316.jpg,annotation_faible
143,1960586,49.974701,2.208969,23.64,14.393978315222189,val,0.0,site_radio,0.491707,0.477215,0.242387,0.271371,23.12,9.93,49.64,55.58,118.0,ANFR_1960586.jpg,annotation_faible
144,1969595,49.885334,2.300455,45.040000000000006,9.571799798399876,train,0.0,site_radio,0.4842,0.456589,0.252107,0.307328,22.58,18.92,51.63,62.94,119.0,ANFR_1969595.jpg,annotation_faible
145,1987717,49.918378,2.994463,14.160000000000004,0.4413553559546864,train,0.0,site_radio,0.495033,0.486352,0.081784,0.099145,7.36,5.95,16.75,20.3,120.0,ANFR_1987717.jpg,annotation_faible
146,2004878,49.888631,2.946476,10.629999999999995,12.388201666488351,val,0.0,site_radio,0.496271,0.489754,0.192529,0.205562,18.95,4.47,39.43,42.1,121.0,ANFR_2004878.jpg,annotation_faible
147,2007971,49.9566,3.086567,5.009999999999991,35.854950518286934,train,0.0,site_radio,0.498242,0.495171,0.412265,0.418407,41.86,2.1,84.43,85.69,343.0,ANFR_2007971.jpg,annotation_faible
148,2007978,49.855186,2.17483,21.83999999999999,15.94506928245067,train,0.0,site_radio,0.492338,0.47895,0.252756,0.279533,24.31,9.18,51.76,57.25,123.0,ANFR_2007978.jpg,annotation_faible
149,2008310,50.317184,1.703868,30.01,21.741652158765564,train,0.0,site_radio,0.489472,0.471075,0.331052,0.367846,31.74,12.61,67.8,75.33,167.0,ANFR_2008310.jpg,annotation_faible
150,2008833,49.845914,2.67282,10.680000000000009,24.27366536170959,train,0.0,site_radio,0.496253,0.489706,0.308681,0.321776,30.84,4.49,63.22,65.9,125.0,ANFR_2008833.jpg,annotation_faible
151,2008973,49.940013,2.707877,12.180000000000009,12.937976825729075,train,0.0,site_radio,0.495727,0.48826,0.200499,0.215432,19.66,5.12,41.06,44.12,126.0,ANFR_2008973.jpg,annotation_faible
152,2014207,50.013807,1.983985,20.97,0.8211217072031594,train,0.0,site_radio,0.492644,0.479788,0.102751,0.128462,9.02,8.81,21.04,26.31,127.0,ANFR_2014207.jpg,annotation_faible
153,2033289,50.215321,2.043793,29.999999999999982,0.3417890959351888,val,0.0,site_radio,0.489476,0.471085,0.122043,0.158824,10.34,12.6,24.99,32.53,128.0,ANFR_2033289.jpg,annotation_faible
155,2070446,50.011019,2.202859,24.91,11.79114472739953,train,0.0,site_radio,0.491261,0.475991,0.22034,0.250881,20.77,10.47,45.13,51.38,129.0,ANFR_2070446.jpg,annotation_faible
157,2104922,49.915681,3.013955,2.519999999999996,28.390928254280915,train,0.0,site_radio,0.499116,0.497571,0.335195,0.338285,34.14,1.06,68.65,69.28,130.0,ANFR_2104922.jpg,annotation_faible
158,2112204,49.93158,2.936774,21.17,15.533297773338717,val,0.0,site_radio,0.492573,0.479596,0.246956,0.272911,23.77,8.89,50.58,55.89,131.0,ANFR_2112204.jpg,annotation_faible
159,2113192,49.843146,1.775275,21.870000000000005,2.1568333258385626,train,0.0,site_radio,0.492328,0.478921,0.118185,0.144998,10.53,9.19,24.2,29.7,132.0,ANFR_2113192.jpg,annotation_faible
160,2124640,50.036813,3.027797,28.84999999999998,0.6883282104461356,train,0.0,site_radio,0.489879,0.472193,0.122374,0.157746,10.46,12.12,25.06,32.31,133.0,ANFR_2124640.jpg,annotation_faible
161,2135269,50.027719,2.093665,17.900000000000002,1.2620774937683066,train,0.0,site_radio,0.493721,0.482747,0.098907,0.120854,8.84,7.52,20.26,24.75,134.0,ANFR_2135269.jpg,annotation_faible
162,2165615,50.031011,1.625863,34.93999999999998,11.356807140833189,train,0.0,site_radio,0.487743,0.466324,0.242725,0.285564,22.34,14.68,49.71,58.48,135.0,ANFR_2165615.jpg,annotation_faible
